a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
5,3,11,0.81192434,2.392,-3.06601,2,376.453,1
3,2,4,0.90498012,0.68099999,-1.27749,1,217.289,1
5,4,11,0.82065994,1.811,-4.1477499,3,423.46899,1
6,4,12,0.81432098,1.848,-4.0734701,3,437.496,1
5,5,13,0.81132436,5.5799999,-7.3738999,3,520.64996,1
4,3,11,0.80142242,5.3039999,-7.4514899,4,502.63498,1
4,4,12,0.8025167,5.3249998,-6.6372299,2,456.60699,1
4,3,10,0.81169534,4.5640001,-6.9029899,4,476.59698,1
6,3,10,0.83678609,4.921,-7.34512,5,532.617,1
3,3,9,0.79195869,5.3270001,-6.83253,3,405.51801,1
5,5,12,0.83465773,3.3180001,-5.7039399,2,444.552,1
4,3,10,0.81169534,4.6030002,-6.9029899,4,476.59698,1
4,3,10,0.81169534,4.5640001,-6.9029899,4,476.59698,1
4,3,10,0.81086665,4.7410002,-6.35287,3,454.591,1
6,3,10,0.83678609,4.921,-7.34512,5,532.617,1
4,3,10,0.81169534,4.6030002,-6.9029899,4,476.59698,1
4,3,11,0.80142242,5.3039999,-7.4514899,4,502.63498,1
3,3,9,0.79195869,5.3270001,-6.83253,3,405.51801,1
7,7,11,0.85848945,2.309,-3.5483699,2,434.42899,1
6,6,11,0.80331445,3.8889999,-4.8354402,2,412.48599,1
6,6,12,0.79753351,4.3309999,-5.3506598,2,426.513,1
7,7,11,0.89084852,0.79100001,-1.32376,1,372.358,1
7,7,13,0.81930465,4.8319998,-7.07337,4,558.57098,1
7,7,12,0.84236318,2.872,-4.6469898,3,482.47299,1
7,7,13,0.85058743,2.835,-4.3770399,2,448.45599,1
8,8,11,0.88833475,0.764,-2.9422901,2,436.401,1
6,6,12,0.80331445,3.869,-5.0234499,2,412.48599,1
8,7,13,0.84837115,2.826,-4.6973701,3,512.49896,1
8,7,14,0.84206825,3.164,-5.0553699,3,526.526,1
7,7,10,0.87630242,1.337,-3.14483,2,406.375,1
9,7,12,0.87237287,2.5769999,-4.6020899,4,526.48199,1
