a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
4,3,6,0.82997805,3.7249999,-5.3492799,4,438.548,0.00011
9,5,16,0.86185551,2.4890001,-3.9506099,3,520.51898,0.0001148
3,2,4,0.90498012,0.68099999,-1.27749,1,217.289,0.00012
7,5,15,0.82479596,3.0739999,-4.2261901,3,516.57501,0.0001318
3,2,8,0.85574937,3.309,-3.97947,2,353.50699,0.00018
7,6,11,1.0678742,1.97,-3.3669701,2,517.32001,0.0002291
7,6,16,0.83394021,3.4070001,-5.75945,4,573.60199,0.0002512
9,5,18,0.84352911,2.4827399,-4.0962701,2,536.56201,0.0002884
7,5,16,0.83082676,3.109,-3.6427901,2,482.55798,0.0002951
7,5,14,0.8368187,2.8110001,-4.1793799,3,488.521,0.0002951
4,2,9,0.84722662,4.3099999,-6.0500898,3,429.561,0.0004
6,5,10,0.90045166,3.951,-4.6255798,2,428.31598,0.00044
7,5,15,0.82479596,3.773,-5.3998599,3,522.62299,0.0004898
7,6,13,0.87655663,2.971,-4.2827201,3,495.66501,0.0005
7,5,16,0.84734005,3.6700001,-5.3379998,3,548.64099,0.0005248
7,5,15,0.86982608,2.016,-3.5141399,2,486.57001,0.0005248
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,0.0006
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,0.0006
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,0.0006026
7,5,14,0.89782065,2.898,-4.7108202,3,530.64697,0.000631
7,5,16,0.84734005,3.6700001,-5.3379998,3,548.64099,0.0007762
7,6,11,1.0678742,1.97,-3.3669701,2,517.32001,0.0007943
6,5,9,0.89239413,2.902,-4.3132601,3,438.569,0.0008
8,6,14,0.87260562,0.76800001,-2.31972,2,456.47598,0.000871
7,5,16,0.81934184,3.5039999,-4.4279599,3,530.60199,0.0008913
3,2,7,0.85574937,3.556,-4.3919201,2,353.50699,0.0009
5,3,11,0.80053711,3.7739999,-4.20994,3,430.54498,0.00093
5,3,11,0.8006267,2.7850001,-4.27214,3,436.508,0.001
6,4,4,0.9784593,-1.044,-0.30390999,2,269.21298,0.001
3,2,4,0.88532102,1.215,-1.6047,1,231.31599,0.001
6,2,16,0.81078434,5.4239998,-6.4225898,3,563.672,0.001
4,3,6,0.88448411,2.7520001,-4.6207299,3,408.543,0.001
7,5,16,0.83082676,2.7839999,-3.9955101,2,476.50998,0.001072
6,5,9,0.81926286,3.007,-4.20435,3,398.45898,0.001096
5,3,11,0.81192434,2.392,-3.06601,2,376.453,0.0012
6,5,9,0.83503067,1.7869999,-2.3264699,2,348.39899,0.0012
6,5,9,0.82652491,2.194,-2.6536801,2,362.42599,0.0012
6,5,9,0.83503067,1.7869999,-2.3264699,2,348.39899,0.001202
7,3,13,0.82264137,2.11374,-4.1711302,3,482.53299,0.0014
5,3,11,0.83488429,1.13,-3.8219399,3,412.44199,0.0014
7,5,15,0.81747991,3.7980001,-5.4025302,2,461.55899,0.0015
5,3,10,0.81931269,2.8529999,-3.223,2,368.474,0.0015
7,5,13,0.8468231,2.01,-3.63463,1,385.461,0.0016
6,5,8,0.81926286,2.7950001,-3.6563799,3,396.44299,0.001698
7,5,9,0.86332315,0.72100002,-2.04547,2,377.397,0.0017
7,5,11,0.83020777,2.5090001,-3.81337,3,453.495,0.0017
5,3,10,0.80053711,3.4000001,-4.3959198,3,424.49698,0.0017
7,5,15,0.86982608,2.016,-3.5141399,2,486.57001,0.001905
6,5,7,0.87442333,2.2880001,-3.2224801,3,392.47598,0.001995
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,0.002
7,5,16,0.81167448,4.4120002,-5.6043,2,475.586,0.0021
7,5,10,0.84551054,1.946,-3.34165,2,405.45099,0.0021
7,6,12,0.83240879,1.414,-2.0941601,2,391.46799,0.002188
6,5,9,0.81926286,2.8929999,-3.6584101,3,402.491,0.002188
7,5,12,0.82387179,3.1229999,-4.0151401,3,467.522,0.0023
3,2,7,0.85574937,3.517,-4.3919201,2,353.50699,0.0023
7,5,14,0.83840185,2.6240001,-3.8364,1,399.48801,0.0024
3,2,7,0.86620957,3.221,-3.918,2,339.48001,0.0024
7,5,16,0.88499767,3.25,-4.5619798,2,532.66302,0.00257
6,5,9,0.84590477,1.666,-2.3699701,1,314.38199,0.00257
7,3,13,0.81184214,3.2897401,-4.5661602,3,498.57599,0.0026
6,5,9,0.81256402,2.9489999,-3.7258601,3,410.47,0.0028
7,6,9,0.86054438,1.479,-1.96452,2,364.39798,0.002818
6,4,6,0.85210156,2.7809999,-6.7726598,4,419.461,0.002846
7,6,14,0.85708463,1.6799999,-2.7161601,2,435.47699,0.002884
7,5,9,0.85229218,1.234,-2.6821899,3,417.46201,0.002884
7,5,9,0.85229218,1.234,-2.6821899,3,417.46201,0.0029
6,5,9,0.84805858,2.819,-4.3850198,3,428.509,0.0029
9,7,19,0.8877728,2.1937599,-4.72755,3,656.69897,0.003
6,5,8,0.85613614,2.6849999,-4.44098,3,414.48199,0.003
7,6,13,0.82176769,2.823,-4.2669401,3,481.54898,0.003
8,5,11,0.82872194,2.6847401,-3.8266201,3,470.522,0.003
5,3,11,0.8006267,2.7850001,-4.27214,3,436.508,0.00302
6,5,8,0.82652491,2.2290001,-2.52824,2,362.42599,0.00302
6,5,9,0.81926286,2.8610001,-3.6643901,3,396.44299,0.0031
6,5,9,0.81926286,3.007,-4.20435,3,398.45898,0.003162
6,4,3,1.0033997,-1.132,-0.42199001,2,255.18599,0.003162
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,0.0032
5,4,11,0.81432098,2.273,-4.4749599,3,437.496,0.0032
3,2,7,0.84493172,4.441,-5.7958798,3,389.54001,0.0032
7,5,15,0.82479596,3.773,-5.3998599,3,522.62299,0.003236
7,5,11,0.83766681,2.388,-3.8568699,2,419.478,0.0033
3,2,8,0.83757758,4.3639998,-5.4223599,2,381.561,0.0033
8,7,18,0.84935337,2.2950001,-3.9153299,3,560.64801,0.003467
7,6,9,0.87921435,0.52399999,-2.1514599,2,363.37,0.0035
3,2,4,0.864259,1.709,-2.7328401,2,265.33301,0.0037
4,3,5,0.93511403,1.6569999,-2.9507401,2,313.39801,0.003715
6,5,11,0.83311164,2.1730001,-3.38568,3,470.59698,0.0038
7,6,13,0.82488954,1.8559999,-2.2959299,2,405.495,0.003981
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,0.003981
4,3,9,0.84722781,1.633,-3.2794299,2,364.466,0.004
7,6,13,0.84194446,2.552,-3.46157,2,463.53098,0.004
6,5,8,0.85613614,2.6849999,-4.44098,3,414.48199,0.004
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,0.004
5,3,11,0.8064574,3.332,-3.69472,3,416.51801,0.004
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,0.004
3,2,8,0.88736606,3.813,-4.9394002,2,385.573,0.0041
4,2,6,0.91896349,4.0359998,-7.8703499,4,468.375,0.00411
3,2,7,0.84493172,4.48,-5.7958798,3,389.54001,0.0042
6,3,12,0.82111263,2.1570001,-4.4491701,3,438.47998,0.0044
5,3,8,0.85305858,1.895,-4.4229202,3,414.48199,0.0044
6,4,11,0.82701081,2.1070001,-3.70842,3,438.47998,0.0047
5,4,9,0.80403203,3.4679999,-4.0430598,3,395.45499,0.004786
4,3,8,0.83018678,2.641,-4.6093402,3,412.50998,0.0048
7,6,13,0.82176769,2.823,-4.2669401,3,481.54898,0.0048
6,5,8,0.82652491,2.2090001,-2.4028001,2,362.42599,0.0048
6,5,8,0.83503067,2.316,-3.18466,2,348.39899,0.005
4,3,6,0.84583718,3.0050001,-4.15166,3,390.504,0.005
4,3,6,0.86170721,3.8239999,-4.5345402,3,394.56,0.005
6,6,5,1.007431,-1.15,0.14673001,1,265.202,0.005012
7,6,11,0.85913956,0.77999997,-2.3754499,2,391.42398,0.005248
9,8,13,0.87456042,0.71799999,-2.5807199,3,504.53998,0.0054
4,3,8,0.84722781,2.78,-4.5829101,2,364.466,0.0054
6,3,11,0.82065994,1.182,-2.8122301,3,423.46899,0.0057
6,5,9,0.81256402,2.9489999,-3.7258601,3,410.47,0.0058
5,3,9,0.84340835,1.85,-3.4975901,2,393.508,0.006
9,8,11,0.92800003,-1.279,-0.75134999,2,414.41498,0.006
6,5,7,0.8443889,1.874,-2.66944,2,334.37198,0.006
4,3,7,0.84722781,2.6960001,-4.5829101,2,364.466,0.0063
5,4,10,0.80220884,3.01,-3.76408,3,424.49698,0.006457
6,5,8,0.87796628,1.473,-2.8188901,2,366.43799,0.0065
7,5,12,0.83766681,2.118,-3.0896699,2,419.478,0.0067
9,7,19,0.89437217,1.82376,-4.5257802,3,642.672,0.007
5,3,6,0.88210309,1.368,-3.60677,3,405.47501,0.007
6,5,10,0.84058529,2.9070001,-4.4464898,3,442.53598,0.007
7,6,9,0.84954685,0.88700002,-1.92191,2,363.414,0.007
7,7,15,0.85444188,1.7130001,-3.86958,2,519.53497,0.007
5,5,8,0.87757474,0.58499998,-1.48031,2,354.34299,0.007079
5,2,7,0.80162716,5.02,-8.5951004,5,481.57599,0.00764
7,6,12,0.82783884,2.381,-4.0651698,3,467.522,0.0077
6,5,9,0.84590477,1.666,-2.3699701,1,314.38199,0.007943
5,3,6,0.85922456,1.548,-3.5209899,3,391.492,0.008
6,5,8,0.81876028,2.651,-2.91802,2,376.453,0.0081
5,3,11,0.79504395,3.5539999,-4.4654002,3,438.52399,0.0083
3,2,8,0.83757758,4.3639998,-5.4223599,2,381.561,0.0084
6,5,7,0.82653117,2.3529999,-3.4546101,3,382.41599,0.008500001
8,7,16,0.88230383,2.905,-4.7866302,3,592.61499,0.0086
5,2,6,0.81201726,4.915,-8.9320297,5,465.53299,0.008841
4,2,4,0.94659501,0.178,-1.34495,1,231.272,0.008913
7,5,8,0.8846727,-0.428,-0.92164999,2,355.39099,0.0094
5,2,6,0.80676204,4.8860002,-8.6510601,5,467.54898,0.00982
6,3,14,0.79570222,4.1589999,-5.8886499,4,528.60498,0.01
5,3,9,0.86612624,1.67,-3.58337,2,407.491,0.01
5,3,11,0.80637032,2.415,-4.0703702,3,422.48099,0.01
6,5,8,0.82652491,2.2290001,-2.52824,2,362.42599,0.01
4,3,6,0.87918264,1.294,-2.71943,2,328.43298,0.01
7,5,9,0.83488429,2.1830001,-3.53578,3,412.44199,0.01
6,5,11,0.85140634,1.262,-3.3962801,3,458.45099,0.01
5,2,5,0.83067352,3.253,-7.1714902,4,403.46201,0.01067
7,5,10,0.83701807,2.0669999,-3.6115999,3,439.46799,0.011
4,2,6,0.80235028,4.2309999,-7.3058,4,403.50598,0.0118
5,3,12,0.83365101,2.793,-5.2984099,3,454.547,0.012
4,3,7,0.83768922,2.8169999,-4.85286,3,398.483,0.012
5,3,6,0.86880881,1.1059999,-3.3192201,3,377.465,0.012
4,3,7,0.83845496,2.658,-4.05193,2,378.49298,0.012
6,5,12,0.84423828,1.704,-3.5980501,3,472.478,0.012
8,7,13,0.86760008,0.052000001,-1.5894001,2,426.51398,0.01202
8,7,18,0.86419588,0.91299999,-2.7714,2,506.556,0.01202
3,2,4,0.864259,1.709,-2.7328401,2,265.33301,0.01259
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,0.01259
4,3,7,0.87482512,2.707,-5.6374602,3,416.522,0.013
5,3,7,0.85305858,2.533,-4.99365,3,414.48199,0.013
6,6,7,0.834405,2.5539999,-3.7445099,4,421.453,0.013
